name,home_goals,away_goals,total_goals,home_wins,away_wins,total_wins,home_draws,away_draws,total_draws,home_losses,away_losses,total_losses,win_rate,win_percentage,goals_conceded_home,goals_conceded_away,goals_conceded,games_played,avg_goals_per_game,avg_goals_conceded_per_game,goal_difference
Abkhazia,39.0,12.0,51.0,11.0,3.0,14.0,8.0,5.0,13.0,3.0,2.0,5.0,0.4375,0.640625,13.0,13.0,26.0,32.0,1.59375,0.8125,27.0
Afghanistan,55.0,85.0,140.0,18.0,17.0,35.0,11.0,21.0,32.0,18.0,57.0,75.0,0.24647887323943662,0.3591549295774648,70.0,218.0,288.0,142.0,0.9859154929577465,2.028169014084507,-30.0
Albania,239.0,136.0,375.0,78.0,31.0,109.0,48.0,36.0,84.0,81.0,118.0,199.0,0.2780612244897959,0.3852040816326531,227.0,355.0,582.0,392.0,0.9566326530612245,1.4846938775510203,103.0
Alderney,20.0,53.0,73.0,1.0,4.0,5.0,1.0,1.0,2.0,46.0,82.0,128.0,0.037037037037037035,0.044444444444444446,199.0,421.0,620.0,135.0,0.5407407407407407,4.592592592592593,-33.0
Algeria,649.0,264.0,913.0,198.0,77.0,275.0,82.0,76.0,158.0,62.0,104.0,166.0,0.4590984974958264,0.5909849749582637,288.0,318.0,606.0,599.0,1.5242070116861435,1.011686143572621,385.0
Ambazonia,,3.0,3.0,,0.0,0.0,,1.0,1.0,,5.0,5.0,0.0,0.08333333333333333,,17.0,17.0,6.0,0.5,2.8333333333333335,
American Samoa,18.0,13.0,31.0,3.0,1.0,4.0,2.0,0.0,2.0,19.0,28.0,47.0,0.07547169811320754,0.09433962264150944,145.0,201.0,346.0,53.0,0.5849056603773585,6.528301886792453,5.0
Andalusia,23.0,2.0,25.0,7.0,1.0,8.0,4.0,0.0,4.0,1.0,0.0,1.0,0.6153846153846154,0.7692307692307693,13.0,1.0,14.0,13.0,1.9230769230769231,1.0769230769230769,21.0
Andorra,42.0,31.0,73.0,11.0,2.0,13.0,16.0,14.0,30.0,85.0,94.0,179.0,0.05855855855855856,0.12612612612612611,225.0,307.0,532.0,222.0,0.32882882882882886,2.3963963963963963,11.0
Angola,286.0,174.0,460.0,96.0,43.0,139.0,63.0,80.0,143.0,39.0,85.0,124.0,0.34236453201970446,0.5184729064039408,167.0,252.0,419.0,406.0,1.1330049261083743,1.0320197044334976,112.0
Anguilla,17.0,30.0,47.0,2.0,3.0,5.0,4.0,5.0,9.0,23.0,48.0,71.0,0.058823529411764705,0.11176470588235295,81.0,249.0,330.0,85.0,0.5529411764705883,3.8823529411764706,-13.0
Antigua and Barbuda,188.0,117.0,305.0,52.0,19.0,71.0,24.0,18.0,42.0,51.0,63.0,114.0,0.31277533039647576,0.4052863436123348,180.0,236.0,416.0,227.0,1.3436123348017621,1.8325991189427313,71.0
Arameans Suryoye,6.0,10.0,16.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,3.0,0.5,0.6,4.0,8.0,12.0,10.0,1.6,1.2,-4.0
Argentina,1337.0,670.0,2007.0,402.0,183.0,585.0,127.0,130.0,257.0,70.0,149.0,219.0,0.5513666352497644,0.672478793590952,502.0,570.0,1072.0,1061.0,1.8916116870876531,1.0103675777568333,667.0
Armenia,147.0,123.0,270.0,42.0,23.0,65.0,30.0,25.0,55.0,57.0,90.0,147.0,0.24344569288389514,0.3464419475655431,199.0,286.0,485.0,267.0,1.0112359550561798,1.8164794007490637,24.0
Artsakh,12.0,20.0,32.0,4.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,3.0,0.5454545454545454,0.6363636363636364,9.0,5.0,14.0,11.0,2.909090909090909,1.2727272727272727,-8.0
Aruba,110.0,77.0,187.0,21.0,8.0,29.0,14.0,15.0,29.0,37.0,50.0,87.0,0.2,0.3,154.0,191.0,345.0,145.0,1.289655172413793,2.3793103448275863,33.0
Asturias,,3.0,3.0,,1.0,1.0,,0.0,0.0,,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,
Australia,751.0,409.0,1160.0,186.0,108.0,294.0,60.0,62.0,122.0,76.0,83.0,159.0,0.5113043478260869,0.6173913043478261,331.0,281.0,612.0,575.0,2.017391304347826,1.0643478260869565,342.0
Austria,917.0,614.0,1531.0,234.0,129.0,363.0,87.0,96.0,183.0,136.0,173.0,309.0,0.4245614035087719,0.531578947368421,597.0,716.0,1313.0,855.0,1.7906432748538013,1.535672514619883,303.0
Aymara,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,2.0,0.5,2.0,-1.0
Azerbaijan,131.0,97.0,228.0,38.0,21.0,59.0,46.0,32.0,78.0,62.0,105.0,167.0,0.19407894736842105,0.3223684210526316,177.0,333.0,510.0,304.0,0.75,1.6776315789473684,34.0
Bahamas,45.0,28.0,73.0,10.0,4.0,14.0,6.0,4.0,10.0,15.0,22.0,37.0,0.22950819672131148,0.3114754098360656,73.0,114.0,187.0,61.0,1.1967213114754098,3.0655737704918034,17.0
Bahrain,493.0,225.0,718.0,140.0,65.0,205.0,93.0,61.0,154.0,114.0,105.0,219.0,0.3546712802768166,0.48788927335640137,394.0,350.0,744.0,578.0,1.2422145328719723,1.28719723183391,268.0
Bangladesh,178.0,89.0,267.0,51.0,27.0,78.0,41.0,23.0,64.0,67.0,90.0,157.0,0.2608695652173913,0.36789297658862874,243.0,302.0,545.0,299.0,0.8929765886287625,1.8227424749163879,89.0
Barawa,16.0,0.0,16.0,3.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,9.0,0.25,0.25,41.0,5.0,46.0,12.0,1.3333333333333333,3.8333333333333335,16.0
Barbados,244.0,141.0,385.0,63.0,30.0,93.0,48.0,18.0,66.0,62.0,75.0,137.0,0.3141891891891892,0.42567567567567566,245.0,268.0,513.0,296.0,1.3006756756756757,1.7331081081081081,103.0
Basque Country,85.0,71.0,156.0,22.0,16.0,38.0,6.0,5.0,11.0,5.0,4.0,9.0,0.6551724137931034,0.75,36.0,40.0,76.0,58.0,2.689655172413793,1.3103448275862069,14.0
Belarus,178.0,174.0,352.0,49.0,42.0,91.0,40.0,37.0,77.0,53.0,88.0,141.0,0.29449838187702265,0.4190938511326861,183.0,275.0,458.0,309.0,1.13915857605178,1.4822006472491909,4.0
Belgium,942.0,587.0,1529.0,246.0,132.0,378.0,85.0,94.0,179.0,122.0,168.0,290.0,0.4462809917355372,0.551948051948052,589.0,697.0,1286.0,847.0,1.8051948051948052,1.5182998819362457,355.0
Belize,72.0,51.0,123.0,21.0,8.0,29.0,8.0,12.0,20.0,24.0,42.0,66.0,0.25217391304347825,0.3391304347826087,80.0,142.0,222.0,115.0,1.0695652173913044,1.9304347826086956,21.0
Benin,214.0,131.0,345.0,61.0,20.0,81.0,43.0,33.0,76.0,52.0,105.0,157.0,0.25796178343949044,0.37898089171974525,208.0,336.0,544.0,314.0,1.0987261146496816,1.732484076433121,83.0
Bermuda,197.0,117.0,314.0,44.0,21.0,65.0,21.0,11.0,32.0,41.0,50.0,91.0,0.34574468085106386,0.4308510638297872,161.0,162.0,323.0,188.0,1.6702127659574468,1.7180851063829787,80.0
Bhutan,34.0,26.0,60.0,8.0,3.0,11.0,4.0,3.0,7.0,22.0,66.0,88.0,0.10377358490566038,0.13679245283018868,89.0,296.0,385.0,106.0,0.5660377358490566,3.6320754716981134,8.0
Biafra,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.0
Bolivia,371.0,167.0,538.0,95.0,22.0,117.0,67.0,51.0,118.0,102.0,188.0,290.0,0.22285714285714286,0.3352380952380952,420.0,612.0,1032.0,525.0,1.0247619047619048,1.9657142857142857,204.0
Bonaire,20.0,37.0,57.0,3.0,10.0,13.0,5.0,1.0,6.0,9.0,11.0,20.0,0.3333333333333333,0.41025641025641024,44.0,54.0,98.0,39.0,1.4615384615384615,2.5128205128205128,-17.0
Bosnia and Herzegovina,202.0,179.0,381.0,57.0,46.0,103.0,33.0,29.0,62.0,43.0,69.0,112.0,0.37184115523465705,0.48375451263537905,158.0,225.0,383.0,277.0,1.3754512635379061,1.3826714801444044,23.0
Botswana,164.0,101.0,265.0,63.0,26.0,89.0,45.0,45.0,90.0,65.0,81.0,146.0,0.27384615384615385,0.4123076923076923,184.0,230.0,414.0,325.0,0.8153846153846154,1.2738461538461539,63.0
Brazil,1495.0,795.0,2290.0,434.0,234.0,668.0,114.0,101.0,215.0,60.0,110.0,170.0,0.6343779677113011,0.7364672364672364,493.0,457.0,950.0,1053.0,2.174738841405508,0.9021842355175689,700.0
British Virgin Islands,58.0,41.0,99.0,11.0,7.0,18.0,9.0,12.0,21.0,27.0,49.0,76.0,0.1565217391304348,0.24782608695652175,109.0,243.0,352.0,115.0,0.8608695652173913,3.0608695652173914,17.0
Brittany,13.0,5.0,18.0,5.0,1.0,6.0,2.0,1.0,3.0,2.0,1.0,3.0,0.5,0.625,11.0,4.0,15.0,12.0,1.5,1.25,8.0
Brunei,51.0,56.0,107.0,16.0,6.0,22.0,4.0,7.0,11.0,31.0,70.0,101.0,0.16417910447761194,0.20522388059701493,142.0,293.0,435.0,134.0,0.7985074626865671,3.246268656716418,-5.0
Bulgaria,557.0,443.0,1000.0,155.0,104.0,259.0,74.0,112.0,186.0,94.0,190.0,284.0,0.355281207133059,0.4828532235939643,408.0,688.0,1096.0,729.0,1.3717421124828533,1.503429355281207,114.0
Burkina Faso,341.0,221.0,562.0,107.0,52.0,159.0,59.0,62.0,121.0,44.0,128.0,172.0,0.35176991150442477,0.4856194690265487,224.0,376.0,600.0,452.0,1.2433628318584071,1.3274336283185841,120.0
Burundi,120.0,117.0,237.0,40.0,25.0,65.0,22.0,29.0,51.0,35.0,64.0,99.0,0.3023255813953488,0.42093023255813955,97.0,191.0,288.0,215.0,1.1023255813953488,1.3395348837209302,3.0
Cambodia,218.0,105.0,323.0,50.0,13.0,63.0,28.0,12.0,40.0,74.0,115.0,189.0,0.21575342465753425,0.2842465753424658,291.0,468.0,759.0,292.0,1.106164383561644,2.5993150684931505,113.0
Cameroon,501.0,355.0,856.0,171.0,95.0,266.0,77.0,112.0,189.0,44.0,106.0,150.0,0.4396694214876033,0.5958677685950413,239.0,393.0,632.0,605.0,1.4148760330578511,1.0446280991735537,146.0
Canada,316.0,285.0,601.0,100.0,77.0,177.0,42.0,62.0,104.0,66.0,116.0,182.0,0.38228941684665224,0.4946004319654428,228.0,381.0,609.0,463.0,1.2980561555075594,1.3153347732181426,31.0
Canary Islands,11.0,,11.0,3.0,,3.0,0.0,,0.0,1.0,,1.0,0.75,0.75,3.0,,3.0,4.0,2.75,0.75,
Cape Verde,156.0,94.0,250.0,59.0,29.0,88.0,26.0,26.0,52.0,33.0,54.0,87.0,0.3876651982378855,0.5022026431718062,101.0,153.0,254.0,227.0,1.1013215859030836,1.118942731277533,62.0
Cascadia,10.0,13.0,23.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,0.5714285714285714,0.6428571428571429,3.0,11.0,14.0,7.0,3.2857142857142856,2.0,-3.0
Catalonia,67.0,8.0,75.0,18.0,1.0,19.0,10.0,2.0,12.0,11.0,6.0,17.0,0.3958333333333333,0.5208333333333334,57.0,27.0,84.0,48.0,1.5625,1.75,59.0
Cayman Islands,76.0,33.0,109.0,20.0,3.0,23.0,10.0,10.0,20.0,37.0,32.0,69.0,0.20535714285714285,0.29464285714285715,149.0,128.0,277.0,112.0,0.9732142857142857,2.4732142857142856,43.0
Central African Republic,89.0,56.0,145.0,24.0,5.0,29.0,19.0,9.0,28.0,25.0,52.0,77.0,0.21641791044776118,0.3208955223880597,94.0,163.0,257.0,134.0,1.0820895522388059,1.9179104477611941,33.0
Central Spain,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,4.0,4.0,2.0,1.0,2.0,0.0
Chad,74.0,39.0,113.0,19.0,7.0,26.0,18.0,14.0,32.0,30.0,46.0,76.0,0.19402985074626866,0.31343283582089554,91.0,138.0,229.0,134.0,0.8432835820895522,1.708955223880597,35.0
Chagos Islands,12.0,16.0,28.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,7.0,11.0,0.1875,0.25,30.0,46.0,76.0,16.0,1.75,4.75,-4.0
Chameria,7.0,7.0,14.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,0.42857142857142855,0.5714285714285714,1.0,7.0,8.0,7.0,2.0,1.1428571428571428,0.0
Chechnya,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.16666666666666666,2.0,27.0,29.0,3.0,1.0,9.666666666666666,1.0
Chile,775.0,388.0,1163.0,223.0,88.0,311.0,81.0,98.0,179.0,119.0,219.0,338.0,0.3756038647342995,0.483695652173913,494.0,683.0,1177.0,828.0,1.4045893719806763,1.421497584541063,387.0
China PR,860.0,419.0,1279.0,230.0,107.0,337.0,84.0,68.0,152.0,84.0,124.0,208.0,0.4835007173601148,0.5925394548063128,377.0,386.0,763.0,697.0,1.8350071736011477,1.0946915351506457,441.0
Cilento,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,0.0,2.0,
Colombia,450.0,361.0,811.0,154.0,100.0,254.0,69.0,107.0,176.0,78.0,124.0,202.0,0.40189873417721517,0.5411392405063291,293.0,436.0,729.0,632.0,1.2832278481012658,1.1534810126582278,89.0
Comoros,59.0,59.0,118.0,15.0,16.0,31.0,22.0,9.0,31.0,23.0,52.0,75.0,0.22627737226277372,0.33941605839416056,72.0,156.0,228.0,137.0,0.8613138686131386,1.6642335766423357,0.0
Congo,319.0,202.0,521.0,95.0,39.0,134.0,48.0,51.0,99.0,59.0,112.0,171.0,0.3316831683168317,0.4542079207920792,228.0,366.0,594.0,404.0,1.2896039603960396,1.4702970297029703,117.0
Cook Islands,23.0,20.0,43.0,6.0,5.0,11.0,2.0,2.0,4.0,13.0,25.0,38.0,0.20754716981132076,0.24528301886792453,104.0,160.0,264.0,53.0,0.8113207547169812,4.981132075471698,3.0
Corsica,8.0,2.0,10.0,3.0,1.0,4.0,4.0,0.0,4.0,1.0,0.0,1.0,0.4444444444444444,0.6666666666666666,5.0,0.0,5.0,9.0,1.1111111111111112,0.5555555555555556,6.0
Costa Rica,791.0,426.0,1217.0,219.0,94.0,313.0,79.0,94.0,173.0,59.0,167.0,226.0,0.4396067415730337,0.5610955056179775,297.0,541.0,838.0,712.0,1.7092696629213484,1.1769662921348314,365.0
County of Nice,7.0,12.0,19.0,2.0,4.0,6.0,1.0,0.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.7222222222222222,5.0,8.0,13.0,9.0,2.111111111111111,1.4444444444444444,-5.0
Crimea,,7.0,7.0,,3.0,3.0,,0.0,0.0,,2.0,2.0,0.6,0.6,,11.0,11.0,5.0,1.4,2.2,
Croatia,383.0,294.0,677.0,114.0,91.0,205.0,50.0,54.0,104.0,25.0,56.0,81.0,0.5256410256410257,0.658974358974359,161.0,229.0,390.0,390.0,1.735897435897436,1.0,89.0
Cuba,298.0,224.0,522.0,74.0,62.0,136.0,41.0,47.0,88.0,46.0,121.0,167.0,0.34782608695652173,0.46035805626598464,179.0,421.0,600.0,391.0,1.3350383631713556,1.5345268542199488,74.0
Curaçao,354.0,253.0,607.0,84.0,53.0,137.0,53.0,44.0,97.0,44.0,95.0,139.0,0.3672922252010724,0.4973190348525469,200.0,393.0,593.0,373.0,1.6273458445040214,1.5898123324396782,101.0
Cyprus,246.0,121.0,367.0,61.0,19.0,80.0,49.0,22.0,71.0,120.0,149.0,269.0,0.19047619047619047,0.275,389.0,528.0,917.0,420.0,0.8738095238095238,2.183333333333333,125.0
Czech Republic,366.0,259.0,625.0,113.0,74.0,187.0,22.0,48.0,70.0,37.0,60.0,97.0,0.5282485875706214,0.6271186440677966,152.0,210.0,362.0,354.0,1.765536723163842,1.0225988700564972,107.0
Czechoslovakia,595.0,389.0,984.0,148.0,88.0,236.0,53.0,66.0,119.0,40.0,125.0,165.0,0.45384615384615384,0.5682692307692307,293.0,428.0,721.0,520.0,1.8923076923076922,1.3865384615384615,206.0
DR Congo,391.0,376.0,767.0,122.0,79.0,201.0,44.0,97.0,141.0,51.0,119.0,170.0,0.392578125,0.5302734375,206.0,413.0,619.0,512.0,1.498046875,1.208984375,15.0
Darfur,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,0.0,69.0,30.0,99.0,7.0,0.14285714285714285,14.142857142857142,-1.0
Denmark,953.0,622.0,1575.0,246.0,154.0,400.0,90.0,92.0,182.0,108.0,178.0,286.0,0.4608294930875576,0.565668202764977,519.0,645.0,1164.0,868.0,1.814516129032258,1.3410138248847927,331.0
Djibouti,38.0,36.0,74.0,6.0,1.0,7.0,6.0,4.0,10.0,39.0,54.0,93.0,0.06363636363636363,0.10909090909090909,151.0,249.0,400.0,110.0,0.6727272727272727,3.6363636363636362,2.0
Dominica,147.0,97.0,244.0,35.0,16.0,51.0,25.0,20.0,45.0,50.0,63.0,113.0,0.24401913875598086,0.35167464114832536,198.0,226.0,424.0,209.0,1.167464114832536,2.028708133971292,50.0
Dominican Republic,163.0,89.0,252.0,41.0,19.0,60.0,13.0,10.0,23.0,29.0,40.0,69.0,0.39473684210526316,0.47039473684210525,95.0,148.0,243.0,152.0,1.6578947368421053,1.5986842105263157,74.0
Donetsk PR,5.0,3.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,0.3333333333333333,0.5,2.0,5.0,7.0,6.0,1.3333333333333333,1.1666666666666667,2.0
Délvidék,4.0,,4.0,1.0,,1.0,0.0,,0.0,1.0,,1.0,0.5,0.5,3.0,,3.0,2.0,2.0,1.5,
Ecuador,415.0,293.0,708.0,121.0,59.0,180.0,69.0,85.0,154.0,77.0,174.0,251.0,0.3076923076923077,0.4393162393162393,337.0,563.0,900.0,585.0,1.2102564102564102,1.5384615384615385,122.0
